n,min,avg,max
100,13.1,18.194,23.9
200,18.5,26.5965,34.8
300,21.2,30.49,40.3
400,24.7,35.9735,47.1
500,27.9,41.0032,53.6
600,30.1,43.7575,58.1
700,29.9,43.4846,57.7
800,36.2,52.6762,70.7
900,33.4,48.6268,64.6
1000,34.1,49.4006,66.3
1100,37.1,53.4715,72.1
1200,35.9,52.568,69.8
1300,40.6,59.8384,79.7
1400,37,54.2469,72
1500,40.4,58.5957,78.8
1600,43.2,63.1953,84.1
1700,44.6,65.0609,87.4
1800,43.1,63.2482,84.3
1900,44.6,65.0845,87.3
2000,45.6,66.5402,88.9
2100,49.8,72.8759,97.5
2200,46.5,67.9357,91.2
2300,48,71.0811,93.8
2400,50.3,73.4496,98.6
2500,54.2,79.5297,105.9
2600,49.4,71.8191,97
2700,51.8,75.6383,101.4
2800,53.6,78.9637,105.6
2900,56.4,83.1068,111.1
3000,53.4,78.1429,104.9
