scenario,operation,n,avg_cmp,max_cmp,avg_read,max_read,avg_assign,max_assign,avg_rot,max_rot,avg_height,max_height
sorted,insert,10000,0.9999,1,3.9996,4,3.9996,4,0.9999,1,5000.5,10000
sorted,delete,10000,17.7063,9209,77.6348,46034,91.4407,50638,15.7065,9207,36.0207,9820
random,insert,10000,16.2271,39,79.8359,194,93.461,229,16.2271,39,29.5954,48
random,delete,10000,15.9723,38,68.9501,180,81.6427,215,13.9725,36,29.4504,47
sorted,insert,20000,0.99995,1,3.9998,4,3.9998,4,0.99995,1,10000.5,20000
sorted,delete,20000,19.1928,19623,85.0715,98104,100.359,107915,17.1929,19621,39.5699,19471
random,insert,20000,17.675,41,87.0753,204,102.151,242,17.675,41,32.5618,49
random,delete,20000,17.4238,41,76.2095,195,90.3495,232,15.4239,39,32.5606,52
sorted,insert,30000,0.999967,1,3.99987,4,3.99987,4,0.999967,1,15000.5,30000
sorted,delete,30000,20.0724,28667,89.4692,143324,105.636,157657,18.0725,28665,41.941,29847
random,insert,30000,18.5296,45,91.3485,224,107.282,267,18.5296,45,34.334,54
random,delete,30000,18.2697,47,80.4405,224,95.4259,265,16.2697,45,34.3138,53
sorted,insert,40000,0.999975,1,3.9999,4,3.9999,4,0.999975,1,20000.5,40000
sorted,delete,40000,20.691,39196,92.5608,195968,109.346,215565,18.6911,39194,44.306,39481
random,insert,40000,19.1314,45,94.3559,224,110.888,267,19.1314,45,35.6527,53
random,delete,40000,18.8741,45,83.4639,214,99.0551,257,16.8741,43,35.6214,57
sorted,insert,50000,0.99998,1,3.99992,4,3.99992,4,0.99998,1,25000.5,50000
sorted,delete,50000,21.1626,47893,94.9195,239454,112.177,263400,19.1626,47891,45.8848,47541
random,insert,50000,19.5993,48,96.6958,238,113.697,282,19.5993,48,36.6194,58
random,delete,50000,19.3442,47,85.8127,224,101.869,268,17.3443,45,36.649,57
sorted,insert,60000,0.999983,1,3.99993,4,3.99993,4,0.999983,1,30000.5,60000
sorted,delete,60000,21.5577,59762,96.8949,298798,114.546,328678,19.5577,59760,46.646,59318
random,insert,60000,19.9829,49,98.6141,244,116,291,19.9829,49,37.3964,59
random,delete,60000,19.7233,47,87.7086,224,104.145,268,17.7234,45,37.4729,59
sorted,insert,70000,0.999986,1,3.99994,4,3.99994,4,0.999986,1,35000.5,70000
sorted,delete,70000,21.8775,68758,98.4935,343778,116.466,378156,19.8776,68756,47.1604,65970
random,insert,70000,20.3055,48,100.227,238,117.935,283,20.3055,48,38.1614,60
random,delete,70000,20.0495,48,89.3412,228,106.104,273,18.0496,46,38.1275,58
sorted,insert,80000,0.999988,1,3.99995,4,3.99995,4,0.999988,1,40000.5,80000
sorted,delete,80000,22.1622,74492,99.9174,372448,118.174,409693,20.1622,74490,48.6546,77686
random,insert,80000,20.5823,49,101.61,244,119.597,288,20.5823,49,38.721,59
random,delete,80000,20.3293,49,90.7396,234,107.781,277,18.3293,47,38.7495,63
sorted,insert,90000,0.999989,1,3.99996,4,3.99996,4,0.999989,1,45000.5,90000
sorted,delete,90000,22.4154,84881,101.183,424394,119.693,466834,20.4154,84879,48.4433,88626
random,insert,90000,20.8306,52,102.853,259,121.086,307,20.8306,52,39.2745,61
random,delete,90000,20.5746,51,91.9651,244,109.252,290,18.5746,49,39.2377,62
sorted,insert,100000,0.99999,1,3.99996,4,3.99996,4,0.99999,1,50000.5,100000
sorted,delete,100000,22.6371,97878,102.293,489378,121.021,538316,20.6371,97876,49.8585,82739
random,insert,100000,21.0499,50,103.949,248,122.402,295,21.0499,50,39.7341,61
random,delete,100000,20.795,48,93.0677,229,110.576,274,18.795,46,39.7289,60
