n,time,cost
100,0.02464,9.25443
350,0.12652,24.7701
600,0.25948,39.447
850,0.3823,51.5176
1100,0.52968,64.7602
1350,0.69834,79.2849
1600,0.83534,90.5778
1850,0.99228,103.275
2100,1.17684,112.979
2350,1.49518,124.87
2600,1.5265,138.003
2850,1.77562,149.224
3100,1.87252,160.938
3350,2.13998,171.097
3600,2.36858,180.808
3850,2.50234,195.844
4100,2.75662,204.202
4350,3.1579,217.125
4600,3.04548,226.868
4850,3.32786,237.749
5100,3.524,249.195
5350,3.85262,255.946
5600,4.04994,270.841
5850,4.33146,282.963
6100,4.32824,289.517
6350,4.57232,300.463
6600,4.85516,310.293
6850,5.10456,320.841
