n,time,cost
100,0.0207,9.25443
350,0.0899,24.7701
600,0.1703,39.447
850,0.25022,51.5176
1100,0.37994,64.7602
1350,0.42922,79.2849
1600,0.52358,90.5778
1850,0.6933,103.275
2100,0.7392,112.979
2350,1.2146,124.87
2600,0.947,138.003
2850,1.14584,149.224
3100,1.14102,160.938
3350,1.5839,171.097
3600,1.7655,180.808
3850,1.57622,195.844
4100,1.8823,204.202
4350,2.0819,217.125
4600,1.81896,226.868
4850,2.0889,237.749
5100,2.39342,249.195
5350,2.41422,255.946
5600,2.38874,270.841
5850,2.81806,282.963
6100,2.72368,289.517
6350,2.75394,300.463
6600,3.18362,310.293
6850,3.27842,320.841
